"URI","Title","RecordId","Coin Type URI","From Date","To Date","Artist","Authority","Coin Type","Degree","Deity","Denomination","Department","Dynasty","Engraver","Issuer","Maker","Manufacture","Material","Mint","Object Type","Place of Production","Place of Issue","Place of Cataloging Relevance","Portrait","Reference","Region","SubjectEvent","SubjectIssuer","SubjectPerson","SubjectPlace","State","Obverse Legend","Obverse Type","Reverse Legend","Reverse Type","Date on Object","Ah","Axis","Diameter (in mm)","Weight (in gr.)","Thumbnail_obv","Thumbnail_rev","Date Record Modified"
"http://numismatics.org/collection/0000.999.71332","Silver Tetradrachm of Lysimachus, Byzantium, 260 BC - 190 BC. 0000.999.71332","0000.999.71332","","-260","-190","","Lysimachus","","","Athena||Gorgon||Nike","Tetradrachm","Greek","","","","","","Silver","Byzantium","Coin","","","","","","Thrace","","","","","Thrace||Kingdom of Macedonia","","Diademed head of deified Alexander III right, wearing horn of Ammon","ΒΑΣΙΛΕΩΣ/ΛYΣIMAXOΥ","Athena seated left, Nike in right hand, left arm leaning on shield decorated with gorgoneion head boss","","","12","32.0","16.46","https://numismatics.org/collectionimages/00001899/0000/0000.999.71332.obv.width175.jpg","https://numismatics.org/collectionimages/00001899/0000/0000.999.71332.rev.width175.jpg","2022-08-30T03:08:55Z"
"http://numismatics.org/collection/0000.999.71333","Silver Tetradrachm of Lysimachus, Byzantium, 260 BC - 190 BC. 0000.999.71333","0000.999.71333","","-260","-190","","Lysimachus","","","Athena||Gorgon||Nike","Tetradrachm","Greek","","","","","","Silver","Byzantium","Coin","","","","","","Thrace","","","","","Thrace||Kingdom of Macedonia","","Diademed head of deified Alexander III right, wearing horn of Ammon","ΒΑΣΙΛΕΩΣ/ΛYΣIMAXOΥ","Athena seated left, Nike in right hand, left arm leaning on shield decorated with gorgoneion head boss","","","12","37.0","15.71","","","2022-08-30T03:08:56Z"
"http://numismatics.org/collection/1935.117.153","Bronze Coin of Faustina the Younger, Byzantium, AD 146 - AD 176. 1935.117.153","1935.117.153","","146","176","","Faustina the Younger","","","","","Greek","","","","","","Bronze","Byzantium","Coin","","","","","S -G. 1420/2","Thrace","","","","","","ΦΑΥϹΤΕΙΝΑ ϹΕΒΑϹΤΗ","Faustina II head","ΒΥΖΑΝΤΙΩΝ|ΕΠΙ ΑΙΛ ϹΕΥΗΡΟΥ","dolphin flanked by 2 fish","","","9","","10.63","https://numismatics.org/collectionimages/19001949/1935/1935.117.153.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1935/1935.117.153.rev.width175.jpg","2022-08-30T07:42:08Z"
"http://numismatics.org/collection/1944.100.42276","Bronze Coin of Trebonianus Gallus, Nicaea/Byzantium, AD 251 - AD 253. 1944.100.42276","1944.100.42276","","251","253","","Trebonianus Gallus","","","Tyche","","Greek","","","","","","Bronze","Nicaea||Byzantium","Coin","","","","","RGA 778","Bithynia","","","","","","","Head r.","","Tyche stg. before altar","","","12","","9.03","","","2022-08-31T06:13:18Z"
"http://numismatics.org/collection/1944.100.42277","Bronze Coin of Volusian, Nicaea/Byzantium. 1944.100.42277","1944.100.42277","","","","","Volusian","","","Tyche","","Greek","","","","","","Bronze","Nicaea||Byzantium","Coin","","","","","","Bithynia","","","","","","","Head r.","","Tyche stg. before altar","","","6","","7.32","","","2022-08-31T06:13:18Z"
"http://numismatics.org/collection/1944.100.15584","Silver hemiobol, Byzantium. 1944.100.15584","1944.100.15584","","","","","","","","","hemiobol","Greek","","","","","","Silver","Byzantium","Coin","","","","","S -G. 647","Thrace","","","","","","","cow forepart","","incuse square, 4 part","","","","","0.42","https://numismatics.org/collectionimages/19001949/1944/1944.100.15584.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.15584.rev.width175.jpg","2022-08-31T03:04:01Z"
"http://numismatics.org/collection/1944.100.15585","Silver hemiobol, Byzantium. 1944.100.15585","1944.100.15585","","","","","","","","","hemiobol","Greek","","","","","","Silver","Byzantium","Coin","","","","","S -G. 648","Thrace","","","","","","","cow forepart","","incuse square, 4 part","","","","","0.38","https://numismatics.org/collectionimages/19001949/1944/1944.100.15585.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.15585.rev.width175.jpg","2022-08-31T03:04:02Z"
"http://numismatics.org/collection/1944.100.15586","Silver drachm, Byzantium. 1944.100.15586","1944.100.15586","","","","","","","","","drachm","Greek","","","","","","Silver","Byzantium","Coin","","","","","S -G. 99","Thrace","","","","","","","cow, dolphin below","","incuse square, 4 part","","","","","5.11","https://numismatics.org/collectionimages/19001949/1944/1944.100.15586.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.15586.rev.width175.jpg","2022-08-31T03:04:02Z"
"http://numismatics.org/collection/1944.100.15587","Silver Tetradrachm, Byzantium. 1944.100.15587","1944.100.15587","","","","","","","","","Tetradrachm","Greek","","","","","","Silver","Byzantium","Coin","","","","","S -G. 676","Thrace","","","","","","","cow, dolphin below","","incuse square, 4 part, mottled","","","","","13.51","https://numismatics.org/collectionimages/19001949/1944/1944.100.15587.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.15587.rev.width175.jpg","2022-08-31T03:04:02Z"
"http://numismatics.org/collection/1944.100.15588","Silver Tetradrachm, Byzantium. 1944.100.15588","1944.100.15588","","","","","","","","","Tetradrachm","Greek","","","","","","Silver","Byzantium","Coin","","","","","S -G. 697","Thrace","","","","","","","cow, dolphin below","","incuse square, 4 part, mottled","","","","","15.14","https://numismatics.org/collectionimages/19001949/1944/1944.100.15588.obv.width175.jpg","https://numismatics.org/collectionimages/19001949/1944/1944.100.15588.rev.width175.jpg","2022-08-31T03:04:02Z"
